Date,Arrivals
2016-02-08,92
2016-02-09,73
2016-02-10,97
2016-02-11,89
2016-02-12,107
2016-02-13,78
2016-02-14,84
2016-02-15,100
2016-02-16,89
2016-02-17,103
2016-02-18,102
2016-02-19,113
2016-02-20,88
2016-02-21,98
2016-02-22,95
2016-02-23,96
2016-02-24,94
2016-02-25,90
2016-02-26,88
2016-02-27,107
2016-02-28,110
2016-02-29,95
2016-03-01,79
2016-03-02,80
2016-03-03,105
2016-03-04,86
2016-03-05,86
2016-03-06,112
2016-03-07,101
2016-03-08,105
2016-03-09,114
2016-03-10,99
2016-03-11,99
2016-03-12,107
2016-03-13,99
2016-03-14,107
2016-03-15,95
2016-03-16,80
2016-03-17,104
2016-03-18,96
2016-03-19,89
2016-03-20,109
2016-03-21,113
2016-03-22,88
2016-03-23,88
2016-03-24,86
2016-03-25,89
2016-03-26,92
2016-03-27,114
2016-03-28,129
2016-03-29,93
2016-03-30,88
2016-03-31,86
2016-04-01,98
2016-04-02,89
2016-04-03,102
2016-04-04,101
2016-04-05,93
2016-04-06,76
2016-04-07,88
2016-04-08,90
2016-04-09,80
2016-04-10,114
2016-04-11,88
2016-04-12,97
2016-04-13,87
2016-04-14,88
2016-04-15,92
2016-04-16,110
2016-04-17,110
2016-04-18,120
2016-04-19,97
2016-04-20,94
2016-04-21,90
2016-04-22,86
2016-04-23,95
2016-04-24,104
2016-04-25,113
2016-04-26,83
2016-04-27,98
2016-04-28,110
2016-04-29,102
2016-04-30,95
2016-05-01,101
2016-05-02,97
2016-05-03,86
2016-05-04,89
2016-05-05,96
2016-05-06,108
2016-05-07,101
2016-05-08,121
2016-05-09,92
2016-05-10,90
2016-05-11,93
2016-05-12,95
2016-05-13,82
2016-05-14,90
2016-05-15,122
2016-05-16,84
2016-05-17,90
2016-05-18,102
2016-05-19,83
2016-05-20,79
2016-05-21,104
2016-05-22,103
2016-05-23,111
2016-05-24,112
2016-05-25,112
2016-05-26,89
2016-05-27,100
2016-05-28,97
2016-05-29,109
2016-05-30,122
2016-05-31,112
2016-06-01,104
2016-06-02,104
2016-06-03,103
2016-06-04,120
2016-06-05,118
2016-06-06,117
2016-06-07,100
2016-06-08,100
2016-06-09,112
2016-06-10,96
2016-06-11,101
2016-06-12,132
2016-06-13,128
2016-06-14,101
2016-06-15,111
2016-06-16,90
2016-06-17,101
2016-06-18,103
2016-06-19,111
2016-06-20,116
2016-06-21,117
2016-06-22,111
2016-06-23,120
2016-06-24,111
2016-06-25,107
2016-06-26,92
2016-06-27,109
2016-06-28,105
2016-06-29,93
2016-06-30,120
2016-07-01,80
2016-07-02,116
2016-07-03,98
2016-07-04,125
2016-07-05,114
2016-07-06,114
2016-07-07,102
2016-07-08,99
2016-07-09,110
2016-07-10,129
2016-07-11,103
2016-07-12,99
2016-07-13,108
2016-07-14,105
2016-07-15,118
2016-07-16,95
2016-07-17,125
2016-07-18,103
2016-07-19,83
2016-07-20,110
2016-07-21,110
2016-07-22,102
2016-07-23,104
2016-07-24,123
2016-07-25,110
2016-07-26,95
2016-07-27,100
2016-07-28,110
2016-07-29,93
2016-07-30,103
2016-07-31,121
2016-08-01,88
2016-08-02,97
2016-08-03,100
2016-08-04,124
2016-08-05,116
2016-08-06,108
2016-08-07,122
2016-08-08,120
2016-08-09,99
2016-08-10,115
2016-08-11,87
2016-08-12,111
2016-08-13,120
2016-08-14,121
2016-08-15,132
2016-08-16,114
2016-08-17,121
2016-08-18,96
2016-08-19,115
2016-08-20,125
2016-08-21,117
2016-08-22,132
2016-08-23,110
2016-08-24,110
2016-08-25,116
2016-08-26,114
2016-08-27,111
2016-08-28,120
2016-08-29,107
2016-08-30,111
2016-08-31,110
2016-09-01,97
2016-09-02,113
2016-09-03,100
2016-09-04,110
2016-09-05,153
2016-09-06,119
2016-09-07,111
2016-09-08,89
2016-09-09,107
2016-09-10,107
2016-09-11,115
2016-09-12,132
2016-09-13,115
2016-09-14,99
2016-09-15,121
2016-09-16,122
2016-09-17,97
2016-09-18,130
2016-09-19,124
2016-09-20,119
2016-09-21,115
2016-09-22,100
2016-09-23,100
2016-09-24,112
2016-09-25,137
2016-09-26,91
2016-09-27,93
2016-09-28,105
2016-09-29,92
2016-09-30,100
2016-10-01,119
2016-10-02,113
2016-10-03,123
2016-10-04,95
2016-10-05,94
2016-10-06,99
2016-10-07,93
2016-10-08,116
2016-10-09,111
2016-10-10,94
2016-10-11,90
2016-10-12,128
2016-10-13,106
2016-10-14,107
2016-10-15,108
2016-10-16,114
2016-10-17,128
2016-10-18,93
2016-10-19,110
2016-10-20,103
2016-10-21,93
2016-10-22,120
2016-10-23,103
2016-10-24,105
2016-10-25,106
2016-10-26,115
2016-10-27,94
2016-10-28,109
2016-10-29,100
2016-10-30,87
2016-10-31,105
2016-11-01,108
2016-11-02,108
2016-11-03,103
2016-11-04,109
2016-11-05,96
2016-11-06,111
2016-11-07,116
2016-11-08,100
2016-11-09,111
2016-11-10,90
2016-11-11,83
2016-11-12,99
2016-11-13,100
2016-11-14,111
2016-11-15,99
2016-11-16,104
2016-11-17,121
2016-11-18,98
2016-11-19,117
2016-11-20,120
2016-11-21,116
2016-11-22,98
2016-11-23,108
2016-11-24,89
2016-11-25,110
2016-11-26,115
2016-11-27,122
2016-11-28,130
2016-11-29,120
2016-11-30,89
2016-12-01,90
2016-12-02,103
2016-12-03,111
2016-12-04,105
2016-12-05,100
2016-12-06,99
2016-12-07,101
2016-12-08,107
2016-12-09,103
2016-12-10,105
2016-12-11,101
2016-12-12,128
2016-12-13,99
2016-12-14,80
2016-12-15,100
2016-12-16,98
2016-12-17,83
2016-12-18,98
2016-12-19,113
2016-12-20,115
2016-12-21,116
2016-12-22,99
2016-12-23,98
2016-12-24,120
2016-12-25,120
2016-12-26,141
2016-12-27,129
2016-12-28,135
2016-12-29,92
2016-12-30,110
2016-12-31,120
2017-01-01,136
2017-01-02,134
2017-01-03,131
2017-01-04,114
2017-01-05,108
2017-01-06,106
2017-01-07,121
2017-01-08,100
2017-01-09,127
2017-01-10,109
2017-01-11,107
2017-01-12,101
2017-01-13,99
2017-01-14,123
2017-01-15,119
2017-01-16,94
2017-01-17,130
2017-01-18,140
2017-01-19,125
2017-01-20,126
2017-01-21,112
2017-01-22,112
2017-01-23,117
2017-01-24,114
2017-01-25,87
2017-01-26,124
2017-01-27,115
2017-01-28,89
2017-01-29,121
2017-01-30,129
2017-01-31,114
2017-02-01,92
2017-02-02,85
2017-02-03,116
2017-02-04,121
2017-02-05,117
2017-02-06,123
2017-02-07,98
2017-02-08,110
2017-02-09,117
2017-02-10,119
2017-02-11,119
2017-02-12,115
2017-02-13,122
2017-02-14,107
2017-02-15,104
2017-02-16,92
2017-02-17,139
2017-02-18,123
2017-02-19,125
2017-02-20,102
2017-02-21,106
2017-02-22,127
2017-02-23,116
2017-02-24,97
2017-02-25,106
2017-02-26,125
2017-02-27,120
2017-02-28,106
2017-03-01,78
2017-03-02,91
2017-03-03,117
2017-03-04,99
2017-03-05,106
2017-03-06,127
2017-03-07,103
2017-03-08,108
2017-03-09,107
2017-03-10,86
2017-03-11,89
2017-03-12,100
2017-03-13,103
2017-03-14,108
2017-03-15,102
2017-03-16,96
2017-03-17,75
2017-03-18,131
2017-03-19,116
2017-03-20,139
2017-03-21,108
2017-03-22,98
2017-03-23,127
2017-03-24,117
2017-03-25,84
2017-03-26,115
2017-03-27,134
2017-03-28,133
2017-03-29,102
2017-03-30,94
2017-03-31,117
2017-04-01,109
2017-04-02,119
2017-04-03,117
2017-04-04,112
2017-04-05,128
2017-04-06,131
2017-04-07,108
2017-04-08,121
2017-04-09,100
2017-04-10,130
2017-04-11,116
2017-04-12,108
2017-04-13,108
2017-04-14,131
2017-04-15,115
2017-04-16,131
2017-04-17,131
2017-04-18,96
2017-04-19,119
2017-04-20,116
2017-04-21,116
2017-04-22,126
2017-04-23,128
2017-04-24,118
2017-04-25,114
2017-04-26,120
2017-04-27,87
2017-04-28,107
2017-04-29,98
2017-04-30,128
2017-05-01,120
2017-05-02,103
2017-05-03,110
2017-05-04,107
2017-05-05,103
2017-05-06,110
2017-05-07,113
2017-05-08,118
2017-05-09,113
2017-05-10,109
2017-05-11,112
2017-05-12,115
2017-05-13,97
2017-05-14,120
2017-05-15,120
2017-05-16,110
2017-05-17,128
2017-05-18,125
2017-05-19,116
2017-05-20,104
2017-05-21,113
2017-05-22,112
2017-05-23,125
2017-05-24,130
2017-05-25,116
2017-05-26,115
2017-05-27,116
2017-05-28,120
2017-05-29,120
2017-05-30,137
2017-05-31,130
2017-06-01,106
2017-06-02,119
2017-06-03,126
2017-06-04,126
2017-06-05,109
2017-06-06,117
2017-06-07,125
2017-06-08,116
2017-06-09,120
2017-06-10,129
2017-06-11,113
2017-06-12,109
2017-06-13,132
